,Substrate ,Microorganism,Reactoe/Mode,pH,Temperature °C,Hydrogen yield,Refrence ,Incitatiom,Location,,,
,Hydrolyzed potato steam peels,Thermotoga neapolitana DSM 4349,Batch,6.9,80,"3.3 (mol H2/mol 
glucose)","Mars, A. E., Veuskens, T., Budde, M. A., Van Doeveren, P. F., Lips, S. J., Bakker, R. R., De Vrije, T., & Claassen, P. A. (2010). Biohydrogen production from untreated and hydrolyzed potato steam peels by the extreme thermophiles Caldicellulosiruptor saccharolyticus and Thermotoga neapolitana. International Journal of Hydrogen Energy, 35(15), 7730–7737. https://doi.org/10.1016/j.ijhydene.2010.05.064","(Mars et al., 2010)",https://sci-hub.se/10.1016/j.ijhydene.2010.05.064,,,
,Cellulose,"C. thermocellum DSM 
1237and C. 
thermopalmarium 
DSM 5974 ",Batch,6.8,55,"1.36 (mol H2/mol 
glucose)","Geng, A., He, Y., Qian, C., Yan, X., & Zhou, Z. (2010). Effect of key factors on hydrogen production from cellulose in a co-culture of Clostridium thermocellum and Clostridium thermopalmarium. Bioresource Technology, 101(11), 4029–4033. https://doi.org/10.1016/j.biortech.2010.01.042","(Geng et al., 2010)",https://sci-hub.se/10.1016/j.biortech.2010.01.042,,,
,Corn stalk,Clostridium thermocellum 7072,Continious,7.2,55,"0.45 (mol H2/mol 
glucose)","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.045","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Food waste,"Heat shock treated 
anaerobic sludge ",Leaching bed reactor,6.3,35,310 (mL H2/g VS) ,"Cai, M., Liu, J., & Wei, Y. (2004b). Enhanced Biohydrogen Production from Sewage Sludge with Alkaline Pretreatment. Environmental Science & Technology, 38(11), 3195–3202. https://doi.org/10.1021/es0349204","(Cai et al., 2004b)",https://sci-hub.se/10.1021/es0349204,,,
,"Cassava 
stillage","Heat treated UASB 
sludge",CSTR/Batch,7,60,53.8 (mL H2/g VS) ,"Luo, G., Xie, L., Zou, Z., Zhou, Q., & Wang, J. (2010). Fermentative hydrogen production from cassava stillage by mixed anaerobic microflora: Effects of temperature and pH. Applied Energy, 87(12), 3710–3717. https://doi.org/10.1016/j.apenergy.2010.07.004","(Luo et al., 2010)",https://sci-hub.se/10.1016/j.apenergy.2010.07.004,,,
,Cassava stillage,"Heat treated UASB 
sludge",CSTR/Batch,5,60,66.3 (mL H2/g VS) ,"Luo, G., Xie, L., Zou, Z., Zhou, Q., & Wang, J. (2010). Fermentative hydrogen production from cassava stillage by mixed anaerobic microflora: Effects of temperature and pH. Applied Energy, 87(12), 3710–3717. https://doi.org/10.1016/j.apenergy.2010.07.005","(Luo et al., 2010)",https://sci-hub.se/10.1016/j.apenergy.2010.07.005,,,
,OFMSW,"Untreated anaerobic 
digestate",CSTR/Batch,5.5,37,165 (mL H2/g VS) ,"Valdezvazquez, I., Riosleal, E., Esparzagarcia, F., Cecchi, F., & Poggivaraldo, H. (2004). Semi-continuous solid substrate anaerobic reactors for H production from organic waste: Mesophilic versus thermophilic regime. International Journal of Hydrogen Energy, 30(13–14), 1383–1391. https://doi.org/10.1016/j.ijhydene.2004.09.016","(Valdezvazquez et al., 2004)",https://sci-hub.se/10.1016/j.ijhydene.2004.09.016,,,
,OFMSW,"Untreated anaerobic 
digestate",CSTR/Batch,6.4,55,360 (mL H2/g VS) ,"Valdezvazquez, I., Riosleal, E., Esparzagarcia, F., Cecchi, F., & Poggivaraldo, H. (2004). Semi-continuous solid substrate anaerobic reactors for H production from organic waste: Mesophilic versus thermophilic regime. International Journal of Hydrogen Energy, 30(13–14), 1383–1391. https://doi.org/10.1016/j.ijhydene.2004.09.017","(Valdezvazquez et al., 2004)",https://sci-hub.se/10.1016/j.ijhydene.2004.09.017,,,
,"Wheat 
Straw",Cow dung compost ,CSTR/Batch,7,36,68 (mL H2/g VS) ,"Fan, Y., Zhang, Y., Zhang, S., Hou, H., & Ren, B. (2005). Efficient conversion of wheat straw wastes into biohydrogen gas by cow dung compost. Bioresource Technology, 97(3), 500–505. https://doi.org/10.1016/j.biortech.2005.02.049","(Fan et al., 2005)",https://sci-hub.se/10.1016/j.biortech.2005.02.049,,,
,Vegetable kitchen,"Enriched from kitchen 
waste compost",CSTR/Batch,7,55,0.57 (mL H2/g VS) ,"Lee, Z., Li, S., Lin, J., Wang, Y., Kuo, P., & Cheng, S. (2008). Effect of pH in fermentation of vegetable kitchen wastes on hydrogen production under a thermophilic condition. International Journal of Hydrogen Energy, 33(19), 5234–5241. https://doi.org/10.1016/j.ijhydene.2008.05.006","(Lee et al., 2008)",https://sci-hub.se/10.1016/j.ijhydene.2008.05.006,,,
,Cattle wastewater,"Mixed wastewater 
sludge, cow dung 
compost, chicken 
manure compost, river 
sludge ",CSTR/Batch,5.5,45,319 (mL H2/g VS) ,"Tang, G., Huang, J., Sun, Z., Tang, Q., Yan, C., & Liu, G. (2008). Biohydrogen production from cattle wastewater by enriched anaerobic mixed consortia: Influence of fermentation temperature and pH. Journal of Bioscience and Bioengineering, 106(1), 80–87. https://doi.org/10.1263/jbb.106.80","(Tang et al., 2008)",https://sci-hub.se/10.1263/jbb.106.80,,,
,Rice straw,"Heat treated wastewater 
sludge ",CSTR/Batch,6.5,55,24.8 (mL H2/g VS) ,"Chen, C., Chuang, Y., Lin, C., Lay, C., & Sen, B. (2012). Thermophilic dark fermentation of untreated rice straw using mixed cultures for hydrogen production. International Journal of Hydrogen Energy, 37(20), 15540–15546. https://doi.org/10.1016/j.ijhydene.2012.01.036","(Chen et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.01.036,,,
,wheat stalks,NA,Batch,6,35,"17.6 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.046","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Wheat starw,NA,UASB/Continuous,6.5,70," 21.2 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.047","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Corn stover ,NA,Batch,6,35,"2.84 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.048","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Corn stover ,NA,Batch,5.5,35,"3 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.049","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Beet Pulp,NA,Batch,6,35,"76.7 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.050","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Bagasse,NA,Batch,6.5,35,"66.7 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.051","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Bagasse,NA,Batch,5.5,55,"300 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.052","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Grass,NA,Batch,6.5,35,"72.2 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.053","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Grass,NA,Batch,6,35,"39.5 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.054","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Corn stalk,NA,Batch,5.5,36,"209.8 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.055","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Corncobs,NA,Batch,6,36,"107.9 (mL H2/g 
VS) ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.056","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Sucrose,"Clostridium 
pasteurianum ",Batch,7,37,3.85 mol H2/mol sucrose ,"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.056","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,"Rosa, D., Medeiros, A. B. P., Martinez-Burgos, W. J., Nascimento, J. R. D., De Carvalho, J. C., Sydney, E. B., & Soccol, C. R. (2020). Biological hydrogen production from palm oil mill effluent (POME) by anaerobic consortia and Clostridium beijerinckii. Journal of Biotechnology, 323, 17–23. https://doi.org/10.1016/j.jbiotec.2020.06.015",,
,Sucrose,Cattle Dung,Batch,6,38,3.67 mol H2/mol sucrose ,"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.057","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Sugar Bagass,Enterobacter aerogenes MTCC 2822,Batch,6.8,38,NA,"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.058","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,OFMSW,Heat treated Sludge feom Biogass plant,Batch,5.2,37,43 mL H2/g VS added,"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.059","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Food Waste,Microbial culture,Batch,5.8,40,65 mL H2/g VS,"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.060","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Micro algea,Mixed culture,Batch,5.5,55,53.4 mL H2/g VS,"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.061","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Molasses,Mixed culture,Batch,5.5,55,"0.27 
mol 
H2/mol 
COD ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.062","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Corn stover ,"Clostridium 
thermocellum",Batch,6.8,50,"1.67 
mol 
H2/mol- 
glucose ","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.063","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Corn stalk,Mixed culture,Batch,7,36,"129.8 
mL H2/g 
corn 
129.8 
mL H2/g 
corn 
129.8 mL H2/g corn stalk","Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.064","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Molasses,,CSTR,4.5,35,"0.175 m3 
/kg COD","Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-5","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,,,
,Sucrose,,Fludized bed,6,35,"0.016 m3 
/kg COD ","Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-6","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,"Rosa, D., Medeiros, A. B. P., Martinez-Burgos, W. J., Nascimento, J. R. D., De Carvalho, J. C., Sydney, E. B., & Soccol, C. R. (2020). Biological hydrogen production from palm oil mill effluent (POME) by anaerobic consortia and Clostridium beijerinckii. Journal of Biotechnology, 323, 17–23. https://doi.org/10.1016/j.jbiotec.2020.06.015",,
,Sucrose ,,CSTR,5.9,35,"0.52 mol H2 
/mol hexose ","Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-7","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,,,
,Sucrose,,Fludized bed,6.5,70,3 mol H2/mol hexose ,"Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-8","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,,,
,Glycerol crude,,CSTR,6,60,2.4 mol H2/ mol Hexose ,"Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-9","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,,,
,Slurry and paper ,,Plug flow reactor,5.6,35,72 L H2 /Kg VS,"Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-10","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,"Eker, S., & Sarp, M. (2016). Hydrogen gas production from waste paper by dark fermentation: Effects of initial substrate and biomass concentrations. International Journal of Hydrogen Energy, 42(4), 2562–2568. https://doi.org/10.1016/j.ijhydene.2016.04.020","(Eker & Sarp, 2016)",
,Kitchen waste,,CSTR,5.3,33,"1.82 mol H2 
/mol hexose ","Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-11","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,,,
,Food waste,,CSTR,5.3,35,"0.5 mol H2 
/mol hexose ","Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-12","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,,,
,Food waste,,CSTR,6,55,"67 L H2 
/kg VS ","Tapia-Venegas, E., Ramirez-Morales, J. E., Silva-Illanes, F., Toledo-Alarcón, J., Paillet, F., Escudie, R., Lay, C., Chu, C., Leu, H., Marone, A., Lin, C., Kim, D., Trably, E., & Ruiz-Filippi, G. (2015). Biohydrogen production by dark fermentation: scaling-up and technologies integration for a sustainable system. Reviews in Environmental Science and Bio/Technology, 14(4), 761–785. https://doi.org/10.1007/s11157-015-9383-13","(Tapia-Venegas et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.inrae.fr/hal-02627449/document,,,
